V1,V6,V10,V12,V13,V14,V15,Class
52,51.0,14,935.0,2,-1.0,0,1
53,232.0,29,32.0,1,-1.0,0,1
50,525.0,18,177.0,2,-1.0,0,1
32,648.0,21,166.0,1,-1.0,0,1
58,2348.0,9,226.0,1,-1.0,0,1
37,1731.0,29,148.0,4,-1.0,0,1
65,2352.0,8,354.0,3,188.0,13,1
54,5210.0,30,123.0,4,-1.0,0,1
51,-1136.0,25,155.0,1,-1.0,0,1
28,511.0,15,274.0,1,319.0,5,1
39,3663.0,11,230.0,3,-1.0,0,1
58,-205.0,3,497.0,2,-1.0,0,1
51,1126.0,17,326.0,3,-1.0,0,1
46,-880.0,12,185.0,2,-1.0,0,1
59,-313.0,20,407.0,1,-1.0,0,1
34,1637.0,21,107.0,4,-1.0,0,1
26,-378.0,8,165.0,1,-1.0,0,1
55,9774.0,20,227.0,1,-1.0,0,1
37,14.0,5,22.0,1,-1.0,0,1
45,46.0,5,234.0,1,-1.0,0,1
35,2823.0,2,229.0,1,-1.0,0,1
60,2389.0,4,287.0,1,-1.0,0,1
42,1323.0,19,19.0,1,-1.0,0,1
55,33.0,30,246.0,3,-1.0,0,1
36,9.0,7,473.0,2,-1.0,0,1
26,3825.0,13,107.0,1,-1.0,0,1
44,0.0,11,78.0,2,264.0,3,1
40,275.0,13,409.0,4,-1.0,0,1
37,1.0,6,44.0,2,-1.0,0,1
48,295.0,17,123.0,1,164.0,2,1
22,1161.0,16,119.0,1,-1.0,0,1
39,-146.0,20,239.0,2,-1.0,0,1
41,0.0,6,184.0,2,323.0,1,1
33,381.0,7,1957.0,1,-1.0,0,1
27,811.0,28,591.0,2,-1.0,0,1
49,933.0,29,92.0,33,-1.0,0,1
42,1823.0,13,31.0,1,-1.0,0,1
44,597.0,7,137.0,2,-1.0,0,1
37,41.0,14,388.0,3,-1.0,0,1
39,345.0,29,110.0,3,-1.0,0,1
46,0.0,6,322.0,5,-1.0,0,1
57,0.0,14,360.0,2,-1.0,0,1
34,510.0,27,33.0,7,-1.0,0,1
33,1072.0,29,144.0,2,-1.0,0,1
60,1626.0,27,395.0,2,-1.0,0,1
36,722.0,29,103.0,7,-1.0,0,1
54,466.0,4,297.0,1,-1.0,0,1
36,82.0,29,45.0,4,-1.0,0,1
56,705.0,19,164.0,2,-1.0,0,1
40,0.0,28,147.0,2,-1.0,0,1
39,94.0,6,181.0,2,-1.0,0,1
41,294.0,28,150.0,14,-1.0,0,1
34,260.0,22,142.0,2,-1.0,0,1
38,137.0,10,624.0,1,-1.0,0,1
39,26233.0,2,462.0,1,-1.0,0,1
40,858.0,21,173.0,1,-1.0,0,1
62,1381.0,19,1020.0,1,-1.0,0,1
33,15.0,22,199.0,1,-1.0,0,1
28,-395.0,30,141.0,4,-1.0,0,1
44,3.0,6,147.0,1,-1.0,0,1
41,402.0,17,114.0,17,-1.0,0,1
35,20.0,7,51.0,2,-1.0,0,1
37,0.0,15,280.0,6,-1.0,0,1
37,332.0,14,190.0,2,84.0,7,1
73,7111.0,12,284.0,1,182.0,1,1
50,-111.0,5,19.0,11,-1.0,0,1
34,0.0,2,83.0,1,-1.0,0,1
43,0.0,12,3.0,1,-1.0,0,1
49,378.0,9,189.0,2,-1.0,0,1
53,-634.0,19,695.0,3,-1.0,0,1
40,2502.0,18,205.0,1,-1.0,0,1
55,856.0,29,101.0,4,-1.0,0,1
58,3108.0,21,53.0,1,-1.0,0,1
42,-78.0,29,10.0,23,-1.0,0,1
38,35.0,17,156.0,1,273.0,3,1
50,1005.0,17,188.0,3,-1.0,0,1
55,538.0,13,306.0,1,67.0,2,1
55,-171.0,15,30.0,2,-1.0,0,1
57,8403.0,20,11.0,11,-1.0,0,1
33,422.0,6,406.0,3,-1.0,0,1
45,193.0,29,116.0,2,-1.0,0,1
40,5.0,18,219.0,3,-1.0,0,1
51,2506.0,30,210.0,3,-1.0,0,1
31,259.0,19,287.0,1,-1.0,0,1
32,202.0,4,429.0,1,201.0,1,1
49,0.0,14,151.0,2,-1.0,0,1
32,2313.0,9,99.0,26,-1.0,0,1
37,1699.0,9,63.0,1,-1.0,0,1
55,467.0,25,129.0,5,-1.0,0,1
30,-2.0,9,136.0,2,-1.0,0,1
49,126.0,19,184.0,2,-1.0,0,1
42,2189.0,16,67.0,5,149.0,2,1
31,374.0,28,49.0,4,-1.0,0,1
33,3655.0,19,183.0,20,-1.0,0,1
51,3962.0,2,267.0,1,-1.0,0,1
33,488.0,5,332.0,2,-1.0,0,1
44,-299.0,23,268.0,1,-1.0,0,1
33,1050.0,26,304.0,4,-1.0,0,1
47,7.0,8,175.0,2,-1.0,0,1
30,126.0,23,75.0,10,-1.0,0,1
35,366.0,29,480.0,9,-1.0,0,1
41,0.0,25,286.0,2,-1.0,0,1
53,1421.0,13,225.0,2,-1.0,0,1
28,8263.0,2,267.0,1,-1.0,0,1
36,346.0,5,202.0,1,-1.0,0,1
39,532.0,31,786.0,2,-1.0,0,1
52,316.0,12,463.0,3,-1.0,0,1
35,121.0,5,245.0,5,-1.0,0,1
32,-1.0,8,228.0,2,-1.0,0,1
25,1141.0,5,718.0,1,347.0,1,1
57,1631.0,2,254.0,2,261.0,3,1
35,1085.0,27,130.0,10,-1.0,0,1
38,531.0,29,214.0,3,226.0,7,1
70,3230.0,24,112.0,1,-1.0,0,1
28,4.0,27,133.0,5,-1.0,0,1
44,756.0,18,65.0,1,130.0,2,1
34,1228.0,13,99.0,2,105.0,10,1
43,0.0,29,73.0,4,-1.0,0,1
43,0.0,7,75.0,3,-1.0,0,1
36,25.0,27,127.0,4,-1.0,0,1
54,489.0,20,280.0,4,287.0,3,1
23,486.0,3,87.0,1,-1.0,0,1
37,887.0,14,553.0,2,-1.0,0,1
39,3655.0,20,422.0,1,-1.0,0,1
26,1842.0,22,611.0,1,-1.0,0,1
58,0.0,29,535.0,2,-1.0,0,1
33,543.0,7,244.0,2,-1.0,0,1
60,0.0,19,83.0,2,-1.0,0,1
58,1013.0,30,341.0,5,-1.0,0,1
35,430.0,17,611.0,1,270.0,4,1
36,163.0,6,311.0,2,-1.0,0,1
34,0.0,21,123.0,2,-1.0,0,1
32,203.0,7,219.0,2,-1.0,0,1
37,3429.0,26,81.0,8,-1.0,0,1
33,1737.0,30,524.0,2,-1.0,0,1
46,0.0,26,208.0,2,-1.0,0,1
42,4014.0,21,149.0,4,186.0,1,1
28,981.0,24,225.0,1,-1.0,0,1
26,543.0,30,169.0,3,-1.0,0,1
31,859.0,2,80.0,1,-1.0,0,1
32,-667.0,18,152.0,7,349.0,1,1
36,669.0,9,91.0,1,-1.0,0,1
49,917.0,11,165.0,6,-1.0,0,1
57,567.0,2,87.0,2,265.0,3,1
54,0.0,6,138.0,3,-1.0,0,1
53,234.0,7,103.0,2,-1.0,0,1
39,519.0,26,117.0,1,-1.0,0,1
29,-43.0,9,484.0,1,-1.0,0,1
31,22.0,22,122.0,5,-1.0,0,1
40,170.0,8,361.0,3,-1.0,0,1
32,1868.0,27,186.0,16,-1.0,0,1
36,-272.0,4,53.0,6,-1.0,0,1
28,0.0,27,290.0,1,-1.0,0,1
29,2904.0,27,33.0,1,-1.0,0,1
60,2008.0,7,105.0,2,-1.0,0,1
37,859.0,10,154.0,4,-1.0,0,1
67,3377.0,23,77.0,2,-1.0,0,1
29,0.0,15,91.0,2,-1.0,0,1
27,202.0,21,678.0,1,-1.0,0,1
37,27.0,6,80.0,1,-1.0,0,1
41,-100.0,16,20.0,21,-1.0,0,1
49,177.0,28,90.0,1,204.0,1,1
33,99.0,31,192.0,3,-1.0,0,1
34,0.0,12,117.0,4,-1.0,0,1
25,109.0,16,306.0,1,-1.0,0,1
30,1177.0,8,220.0,2,-1.0,0,1
48,3940.0,16,298.0,6,-1.0,0,1
30,363.0,16,136.0,8,-1.0,0,1
40,407.0,2,200.0,1,271.0,1,1
50,716.0,5,444.0,2,-1.0,0,1
42,1628.0,5,119.0,1,195.0,8,1
33,152.0,13,351.0,2,-1.0,0,1
30,167.0,3,237.0,2,-1.0,0,1
35,523.0,16,95.0,1,-1.0,0,1
49,1743.0,18,68.0,1,-1.0,0,1
54,316.0,14,240.0,1,-1.0,0,1
47,2540.0,18,110.0,5,-1.0,0,1
46,2148.0,8,176.0,4,-1.0,0,1
41,1567.0,1,291.0,2,-1.0,0,1
60,5003.0,4,125.0,5,-1.0,0,1
