title,url,score
"A 3rd World Embedded Engineer Responds to ""RISC-V They Should Have Known Better""",https://rvembedded.com/blog_post/12/,81 points
Claude: System Prompts,https://platform.claude.com/docs/en/release-notes/system-prompts,369 points
The AI Credit Resale Economy,https://vectoral.com/blog/who-are-the-token-brokers,152 points
"St Lucie Nuclear Reactor Unit 1 manually shutdown, 3 control rods drop into core",https://www.wptv.com/news/treasure-coast/region-st-lucie-county/saint-lucie-nuclear-power-plant-unit-1-manually-shut-down-after-3-control-rods-drop-into-reactor-core,94 points
NIH is ending a key grant for budding clinical researchers,https://www.science.org/content/article/nih-ending-key-grant-budding-clinical-researchers,63 points
Anton Chekhov played at love most of his life,https://commonreader.wustl.edu/winning-and-losing-at-the-great-game-of-intimacy/,33 points
GPS and the Lost Art of Getting Lost,https://www.newyorker.com/news/annals-of-inquiry/gps-and-the-lost-art-of-getting-lost,45 points
Firefox for iOS now has a native adblocker,https://support.mozilla.org/en-US/kb/block-ads-firefox-ios,354 points
Plastic mechanical computer from 1963: The Digi-Comp 1 [video],https://www.youtube.com/watch?v=-y8bGBE71yw,11 points
Clamiga: Common Lisp for the Amiga,https://nnamgreb.de/blog/Clamiga+-+Common+Lisp+for+the+Amiga,42 points
Archie G. Norcross' Maine Forest Fire Maps (1918–22),https://publicdomainreview.org/collection/maine-forest-fire-maps/,15 points
"I've built a free, open-source local and remote memory system for agentw and CL",https://www.lorekit.io/blog/give-your-agent-a-memory,5 points
"Before Rightmove, there was the Cosmorama",https://www.ianvisits.co.uk/articles/before-rightmove-there-was-the-cosmorama-londons-forgotten-property-innovation-91687/,10 points
The deep history behind the Road to Nowhere inside the Great Smoky Mountains,https://www.wunc.org/environment/2026-08-10/road-to-nowhere-great-smoky-mountains,8 points
A True Telnet BBS on a Casio Calculator,https://ei3lh.eu/2026/08/16/a-true-telnet-bbs-on-a-casio-calculator/,57 points
The weekend is 100 years old,https://www.theguardian.com/money/2026/aug/16/the-weekend-is-100-years-old-skiveday-fridays-and-hybrid-working-ruined-it,101 points
Tasklet (YC P26) Is Hiring a Head of Design Engineering,https://tasklet.ai/careers/head-of-design-engineering,0
A SAT Attack on Tarski's High School Algebra Problem,https://arxiv.org/abs/2608.08421,64 points
Show HN: A public AI whose memory is shared across all users,https://wildstatic.com/,52 points
Chestnut – eGPU dock with open-source firmware,https://hwbusters.com/news/comma-ai-egpu-dock-runs-open-source-firmware-249-bare-799-with-an-rx-9060/,115 points
"Research papers using ""kidney disappointment"" instead of ""kidney failure""",https://scholar.google.com/scholar?q=%22kidney+disappointment%22,267 points
Asus Bike Booster,https://www.asus.com/accessories/bike-booster/asus-oxiis/oxiis-intelligent-bike-booster/,566 points
AI Coding Without the Vibes,https://peterbloem.nl/blog/craft-coding,58 points
"Asynchronous I/O in DuckDB: Work, Thread, Work",https://duckdb.org/2026/07/31/asynchronous-io,253 points
Superconducting monolayer cuprate with a single CuO2 plane,https://www.nature.com/articles/s41586-026-10857-1,54 points
Does anyone run Postgres without PgBouncer?,https://brandur.org/fragments/postgres-without-pgbouncer,111 points
Cultivating a state of mind where new ideas are born (2023),https://www.henrikkarlsson.xyz/p/good-ideas,245 points
Super El Niño Keeps Growing as New Forecasts Reach Record Territory Ahead Winter,https://www.severe-weather.eu/long-range-2/super-el-nino-growth-accelerating-to-record-strength-fall-winter-2026-2027-forecast-impact-united-states-canada-europe-fa/,392 points
Semaglutide linked to lower predicted dementia risk,https://alz-journals.onlinelibrary.wiley.com/doi/10.1002/dad2.70432,469 points
Guiding Ships with Moire Patterns (2018),https://tinkerings.org/2018/03/28/guiding-ships-with-moire-patterns/,103 points
